date,title_original,title_yours,url,source,excerpt,relevance_score,category,tags,relevance_reason,source_score,source_tier,source_label,source_notes,decision,your_notes
,Worst year on record: internet shutdowns in 2024 - Access Now,Myanmar Tops Global List for Internet Shutdowns in 2024,https://www.accessnow.org/press-release/keepiton-internet-shutdowns-2024-en/,Access Now,"The findings also reveal seven countries joined the first-time offenders list, and for the first time since 2018, India has been knocked off the top spot by Myanmar for most internet shutdowns.

Key findings include:

In 2024, shutdowns were implemented in: Afghanistan, Algeria, Azerbaijan, Bahrain,",10,Shutdown,internet_shutdowns|Myanmar|censorship|press_freedom,"The article explicitly names Myanmar as the country with the most internet shutdowns in 2024, directly addressing the core topics of internet freedom and network shutdowns.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,The world must bring down Myanmar's digital iron curtain,Myanmar's Military Weaponizes Internet Blackouts and Surveillance to Quell Resistance,https://www.accessnow.org/press-release/third-year-myanmar-coup/,Access Now,"Three years into the coup, the military’s firm grip on Myanmar’s telecommunications infrastructure empowers them to weaponise internet shutdowns in regions where anti-coup resistance is strong. Reports reveal that, prior to launching airstrikes on towns and villages, the military frequently employs ",10,Shutdown,internet_shutdowns|surveillance|press_freedom|VPN_blocking|military_censorship,"The article directly addresses military control of telecoms, weaponized internet shutdowns, connectivity disruption before attacks, and the broader context of digital repression, covering all specified topics.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,"Myanmar: End Crackdown on Media, Communications",Myanmar Junta Escalates Crackdown on Internet and Press Freedom,https://www.hrw.org/news/2021/02/05/myanmar-end-crackdown-media-communications,Human Rights Watch,"Myanmar’s military junta should immediately lift internet restrictions, release all persons detained since the February 1, 2021 coup, and end harassment and threatened arrests of journalists, Human Rights Watch said today.  
   
 Journalists in Myanmar have reported credible threats of an imminent, ",10,Shutdown,Internet Restrictions|Journalist Safety|Press Freedom|Censorship,"The article directly addresses internet restrictions, threats to journalists, and media crackdowns following the coup.",94,A,Highly Reliable,Leading human rights organisation. Extensive sourcing. Widely cited.,PUBLISH,
,Myanmar: Guarantee the Right to Free Expression in the Constitution,Myanmar's Constitutional Crisis: The Fight for Free Expression Online and Off,https://www.hrw.org/news/2019/04/11/myanmar-guarantee-right-free-expression-constitution,Human Rights Watch,"### “We Can’t Write the Truth Anymore”

Academic Freedom in Hong Kong Under the National Security Law

Hongkong Academic Freedom Banner

## More Reading

### Myanmar: Peaceful Critics Prosecuted

Demonstrators shout slogans at a protest against an amendment to Myanmar’s public assembly law in Yangon",10,Press Freedom Online,Free Expression|Constitution|Journalist Safety,"The article directly addresses the core issue of constitutional guarantees for free expression, which is the legal foundation for internet freedom, press freedom online, and journalist digital safety in Myanmar.",94,A,Highly Reliable,Leading human rights organisation. Extensive sourcing. Widely cited.,PUBLISH,
,Online and in danger in Burma - Committee to Protect Journalists,Burma's Internet Censorship Eased but Journalists Remain at Risk,https://cpj.org/reports/2013/06/online-and-in-danger-in-burma/,Committee to Protect Journalists,"In one of Thein Sein’s first media-related reforms, the government in September 2011 began to lift censorship of the Internet, including blocks on foreign and exile-run new sites. Because Burma has one of the lowest Internet penetration rates in the world, with less than 1 percent of the national po",9,Censorship,Internet Censorship|Journalist Safety|Press Freedom,"The article directly discusses the lifting of internet censorship, the low online penetration rate, and the dangers faced by journalists in Burma, making it highly relevant to Myanmar internet freedom and press freedom online.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,PUBLISH,
,Myanmar's embattled military government cracks down on free flow ...,Myanmar military escalates internet and communication blackouts amid civil war,https://apnews.com/article/myanmar-censorship-virtual-private-network-facebook-79fb4cc0c3c4317844d0c00b0be1d9d1,Associated Press,"As the army faces strong armed challenges from pro-democracy guerrillas across the country in what amounts to a civil war, it has also made a regular practice of shutting down civilian communications in areas where fighting is going on. While this may serve tactical purposes, it also makes it hard f",9,Shutdown,network_shutdowns|press_freedom_online|digital_censorship,"The article directly describes the military's practice of shutting down civilian communications to control information, which is a core aspect of internet freedom and digital censorship in Myanmar.",96,A,Highly Reliable,,PUBLISH,
,Myanmar civilians struggle as junta's social media crackdown ...,Myanmar Junta's Social Media Crackdown Forces Civilians to Use Costly VPNs,https://eng.mizzima.com/2024/06/10/10713,eng.mizzima.com,"“I am a video editor. It causes disturbances when I have to gather necessary data on Facebook and Messenger and communicate with clients. Initially, I struggled like everyone else. However, I bought Premium VPN rather than free ones. This country is going bankrupt where the costs are high, even the ",9,Shutdown,VPN blocking|digital censorship|economic impact|social media crackdown,"The article directly details the junta's social media crackdown, the resulting civilian reliance on paid VPNs, and the economic burden of restricted internet access.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Myanmar junta builds a surveillance state: report - ENG.MIZZIMA.COM,Report: Myanmar Junta Expands Digital Surveillance with National Database and Mandatory ID,https://eng.mizzima.com/2025/04/27/21748,eng.mizzima.com,"Sensitive personnel will have to navigate with great care in this environment, especially if they have their biographic data documented by the Junta, while being left out of this assembly may also single them out for easy filtering. Additionally, UID becoming a mandatory requirement for passport app",9,Surveillance,surveillance technology|digital censorship|journalist digital safety,"The article directly details the junta's construction of a national database and mandatory UID system, which are core components of a digital surveillance state impacting online freedom and safety.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,"Myanmar coup: Facebook, Instagram place immediate ban on military",Facebook and Instagram Enact Ban on Myanmar Military Accounts,https://www.bbc.com/news/world-asia-56191657,BBC News,"# Myanmar coup: Facebook, Instagram place immediate ban on military

Getty Images In this photo illustration, a Facebook logo is seen

Social media giant Facebook has banned Myanmar's military and its affiliates from its platforms.

The company said it acted after deciding ""the risks of allowing the",9,Digital Censorship,Social Media Ban|Military|Content Moderation,"The article directly describes a major platform's action to ban a state military, which is a form of digital censorship and directly impacts the information environment and press freedom online in Myanmar.",90,A,Highly Reliable,UK public broadcaster. Strong editorial standards. BBC Burmese service.,PUBLISH,
,Myanmar coup: How Facebook became the 'digital tea shop' - BBC,Myanmar Coup Spurs Internet Shutdown and Shift to Alternative Social Apps,https://www.bbc.com/news/world-asia-55929654,BBC News,"People are now scrambling to find alternatives. Other social media and messaging platforms have seen a surge in users in Myanmar including Twitter, Signal and offline messaging app Bridgefy after the military temporarily disrupted internet access.

Facebook has said: ""We urge authorities to restore ",9,Shutdown,Internet Shutdowns|Social Media|VPN & Circumvention,"The article directly discusses internet access disruption, the resulting scramble for alternative platforms, and the role of social media in a post-coup context.",90,A,Highly Reliable,UK public broadcaster. Strong editorial standards. BBC Burmese service.,PUBLISH,
,Myanmar Military's Favorite Election Campaign Platform? Banned ...,Myanmar Junta's Proxy Party Campaigns on Banned Facebook Platform,https://www.irrawaddy.com/news/politics/myanmar-militarys-favorite-election-campaign-platform-banned-facebook.html,The Irrawaddy,The military's proxy USDP is campaigning vigorously on Facebook—the very platform the junta has blocked. But spokespeople have come up with,9,Censorship,digital censorship|network shutdowns|VPN blocking|press freedom online,"The article directly discusses the junta blocking Facebook while its proxy party uses it, highlighting the hypocrisy and application of digital censorship and platform blocking.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar: Facebook's systems promoted violence against Rohingya,"Report: Meta's Algorithms Amplified Violence in Myanmar, Ignoring Warnings",https://www.amnesty.org/en/latest/news/2022/09/myanmar-facebooks-systems-promoted-violence-against-rohingya-meta-owes-reparations-new-report/,Amnesty International,"Internal studies dating back to 2012 indicated that Meta knew its algorithms could result in serious real-world harms. In 2016, Meta’s own research clearly acknowledged that “our recommendation systems grow the problem” of extremism.

Meta received repeated communications and visits by local civil s",9,Digital Censorship,Social Media|Algorithmic Harm|Content Moderation,"The article directly details how a major platform's systems and inaction facilitated harmful content and violence, a core issue of digital censorship and online safety in Myanmar.",93,A,Highly Reliable,"Global human rights organisation. Extensive research, transparent methodology.",PUBLISH,
,"In Myanmar, civilians bear consequences of Starlink cuts",Myanmar Civilians Face Heightened Danger After Starlink Communications Cut,https://www.amnesty.org/en/latest/news/2026/01/in-myanmar-civilians-bear-consequences-of-starlink-cuts/,Amnesty International,"Bee Kyal’s words traveled through a network connected to speakers in a nearby village without internet. There was implicit urgency: The plane that was spotted was identified as a Russian-made Yak-130, which can reach its target in minutes.

More than 7,000 civilians have been killed since the 2021 m",9,Shutdown,Network Shutdowns|Digital Censorship|Journalist Digital Safety,"The article directly discusses the impact of Starlink service cuts on civilian communication and safety, which is a form of network shutdown affecting internet freedom and digital safety in a conflict zone.",93,A,Highly Reliable,"Global human rights organisation. Extensive research, transparent methodology.",PUBLISH,
,"Digital rights are human rights: Holding Australia, Georgia, Myanmar ...","Myanmar's Digital Rights Crisis: Internet Shutdowns, Surveillance, and Censorship",https://www.accessnow.org/digital-rights-are-human-rights-holding-australia-georgia-myanmar-and-nauru-to-account-at-the-u-n/,Access Now,"There are also long-term threats to digital rights in Georgia. The judicial branch of the government lacks independence, which may compromise the ability of the courts to uphold and advance these rights.

Among our recommendations for Georgia:

Read the full report

Myanmar: imposing internet shutdo",9,Shutdown,Internet Shutdowns|Digital Censorship|Surveillance Technology|Journalist Safety,"The article explicitly mentions Myanmar's use of internet shutdowns, criminalization of free expression, and surveillance via SIM cards and digital IDs, directly addressing the core topics.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Analysis: the Myanmar junta's Cybersecurity Law would be a ...,Analysis: Myanmar's Proposed Cybersecurity Law Expands State Surveillance and Data Control,https://www.accessnow.org/analysis-myanmar-cybersecurity-law/,Access Now,"Data protection measures are non-existent, allowing for privacy violations. The bill gives the junta access to data on the people of Myanmar, with virtually no real data protection rights or independent regulatory structure to protect their personal information. Wide carve-outs exclude government an",9,Surveillance,Digital Censorship|Surveillance Technology|Press Freedom Online,"The article directly analyzes a proposed law that grants the junta extensive data access and surveillance powers with no protections, impacting internet freedom, privacy, and journalist safety.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Myanmar: Two more journalists arrested as junta's crusade ... - RSF,"Myanmar Junta Arrests Journalists, Seizes Computers in Latest Crackdown",https://rsf.org/en/myanmar-two-more-journalists-arrested-juntas-crusade-against-right-information-continues,Reporters Without Borders,"On 11 December 2023, Aung San Oo and Myo Myint Oo, two Myanmar journalists from the news agency Dawei Watch, were arrested at their home in the middle of the night by several police and military officers in the southern town of Mergui.

According to the editor-in-chief of this online media specialis",9,Journalist Digital Safety,Arrests|Press Freedom|Surveillance,"The article details the arrest of journalists and seizure of their digital equipment, directly pertaining to the safety of journalists and press freedom in the digital space.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar journalist jailed for 20 years for cyclone coverage,Myanmar Journalist Receives 20-Year Sentence for Underground Reporting on Cyclone,https://www.theguardian.com/world/2023/sep/07/myanmar-journalist-jailed-for-20-years-for-cyclone-coverage,The Guardian,"Myanmar Now, which operates underground, reported that a military tribunal tried, convicted and sentenced Sai Zaw Thaike on Wednesday during the first court hearing since he was detained in the western state of Rakhine.

The news service said he was initially indicted on several charges, including a",9,Press freedom online,journalist digital safety|digital censorship|surveillance technology,"The article details the severe punishment of a journalist for his reporting, directly illustrating state suppression of press freedom online and the digital risks faced by journalists operating underground.",88,A,Highly Reliable,,SKIP,
,Myanmar journalist Htet Aung sentenced to 5 years in prison under ...,Myanmar Journalist Sentenced to 5 Years Under Counterterrorism Law Following Arrest for Photography,https://cpj.org/2024/07/myanmar-journalist-htet-aung-sentenced-to-5-years-in-prison-under-counterterrorism-law/,Committee to Protect Journalists,"After his October arrest, Htet Aung was held in pre-trial detention at Sittwe’s No. 1 Police Station, where he was denied visitation, according to the news agency’s report and Aung Marm Oo. Htet Aung was initially arrested while taking photos of soldiers making donations to Buddhist monks during a r",9,Press freedom online,Journalist digital safety|Surveillance technology|Digital censorship,"The article details the arrest, sentencing, and surveillance of a journalist for his work, directly impacting press freedom and digital safety in Myanmar.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,SKIP,
,Myanmar junta imposes record 20-year jail sentence on ... - RSF,Myanmar Junta Sentences Photojournalist to 20 Years in Prison for Online Reporting,https://rsf.org/en/myanmar-junta-imposes-record-20-year-jail-sentence-photojournalist,Reporters Without Borders,"Sai Zaw Thaikewas arrested on 23 May 2023 in Rakhine State, western Myanmar, while covering the aftermath of cyclone Mocha, which caused the death of at least 148 people and damaged more than 186,000 buildings. Detained for his “connections with illegal news outlets”, the photojournalist has been he",9,Press Freedom Online,Journalist Digital Safety|Surveillance Technology,"The article details the severe judicial persecution of a journalist for his online work, directly impacting press freedom and digital safety.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar: RSF urges armed group to release journalist Mu Dra,Myanmar Armed Group Accused of Abducting Independent Journalist,https://rsf.org/en/myanmar-rsf-urges-armed-group-release-journalist-mu-dra,Reporters Without Borders,"On 20 September 2025, Mu Dra, a journalist reporting for the independent press agency Border News Agency, was abducted from her home in front of her parents by the intelligence services of the Arakan Army (AA), an ethnic armed organisations, controlling much of Rakhine State in western Myanmar. Thre",9,Journalist Digital Safety,Press Freedom Online|Surveillance Technology,"The article directly details the abduction of a journalist by an armed group's intelligence services, a severe threat to journalist safety and press freedom in the digital and physical space.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar arrests US editor Danny Fenster at Yangon airport,Myanmar Authorities Detain US Journalist Danny Fenster at Yangon Airport,https://cpj.org/2021/05/myanmar-arrests-us-editor-danny-fenster-at-yangon-airport/,Committee to Protect Journalists,"Authorities detained Fenster at the airport and transferred him to Yangon’s Insein Prison, according to a statement shared on social media by his employer. The statement said that Frontier Myanmar, an independent magazine and website that covers politics in the country, had been unable to contact Fe",9,Press freedom online,Arrests|Journalist safety|Press freedom,"The article details the arrest of a US journalist and editor, directly impacting journalist digital safety and press freedom online in Myanmar.",92,A,Highly Reliable,Journalist safety organisation. Primary source for arrest data.,SKIP,
,Myanmar's generals up journalist's combined sentence to 12 years ...,Myanmar Regime Increases Journalist's Prison Sentence to 12 Years in Press Freedom Crackdown,https://rsf.org/en/myanmar-s-generals-journalist-s-combined-sentence-12-years-prison,Reporters Without Borders,"Make a donation

 Français
 English
 ESPAñOL
 PORTUGUESE
 العربية
 فارسی
 简体中文
 繁體中文

Press freedom is under attack worldwide. Your support is vital.

SUPPORT RSF

# Myanmar’s generals up journalist’s combined sentence to 12 years in prison

Sithu Aung Myint avait été arrêté en août 2021.

Photo Twi",9,Press freedom online,journalist digital safety|press freedom online|surveillance technology,"The article directly details the sentencing of a journalist, which is a primary example of attacks on press freedom online and creates a dangerous digital environment for journalists, implicating surveillance and repression.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Reporter dies under interrogation in Myanmar's escalating terror - RSF,Myanmar Reporter Dies in Custody Following Retaliatory Arrest for Online Journalism,https://rsf.org/en/reporter-dies-under-interrogation-myanmar-s-escalating-terror,Reporters Without Borders,"One was Democratic Voice of Burma reporter Aung San Lin, who was arrested by soldiers in the middle of the night at his home in Pin Zen, a village in Wetlet, a district near the big northern city of Mandalay. RSF has been told that his arrest was a reprisal for his recent report about soldiers delib",9,Journalist Digital Safety,Press Freedom Online|Surveillance Technology|Digital Censorship,"The article directly details the fatal consequences of state surveillance and retaliation against a journalist for his online reporting, highlighting extreme risks to digital safety and press freedom.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Newspaper editor is paranoid Burmese junta's latest media victim,Burmese Junta Arrests Newspaper Editor in Latest Blow to Press Freedom,https://rsf.org/en/newspaper-editor-paranoid-burmese-junta-s-latest-media-victim,Reporters Without Borders,"Kyaw Min Swe, the editor of Aasan, a newspaper that was forced to close immediately after the military coup in February 2021, was arrested ten days ago at his home in Yangon, Myanmar’s biggest city, although his arrest was kept secret until today (21 April).

According to information reported online",9,Press freedom online,journalist digital safety|digital censorship|surveillance technology,"The article details the arrest and secret detention of a newspaper editor under a broad penal code charge, directly illustrating state suppression of press freedom online and the digital risks faced by journalists.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar reporter sentenced to six years in prison - RSF,Myanmar Journalist Jailed for Six Years in Post-Coup Crackdown on Press,https://rsf.org/en/myanmar-reporter-sentenced-six-years-prison,Reporters Without Borders,"After being arrested at his home near Wetlet, without any official grounds being given, on 11 December 2021, during a surge in army violence against journalists, Aung San Lin spent seven months in “provisional” detention before being brought to trial. His family received no news about him during the",9,Press freedom online,Journalist digital safety|Surveillance technology,"The article details the imprisonment of a journalist following the military coup, directly illustrating state suppression of press freedom and the digital/physical risks faced by journalists.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,DMG staff sentenced in Myanmar: RSF condemns relentless ...,"Myanmar Sentences Journalists, Forces Media Outlet Underground in Press Freedom Crackdown",https://rsf.org/en/dmg-staff-sentenced-myanmar-rsf-condemns-relentless-crackdown-independent-outlet,Reporters Without Borders,"The two men were arrested on 29 October 2023. The Myanmar military first arrested Htet Aung, who was covering a cultural festival in Sittwe, before raiding DMG’s offices, which led to the arrest of Soe Win Aung and the forced closure of the media outlet. The other employees are being actively sought",9,Press Freedom Online,Journalist Digital Safety|Surveillance Technology|Digital Censorship,"The article details the arrest, sentencing, and forced closure of an independent media outlet, directly illustrating state suppression of press freedom online and the digital risks faced by journalists.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar junta arrests man over social media posts and digital ...,Myanmar Junta Arrests Citizen for Social Media Posts and Online Activity,https://myanmar-now.org/en/news/myanmar-junta-arrests-man-over-social-media-posts-and-digital-transactions/,Myanmar Now,"Houses in Hpet Pin Aing, in Mandalay Region’s Myingyan Township, after they were torched on the morning of April 3 (Photo: Supplied)
Brig-Gen Kyaw Kyaw Than, commander of the junta’s Western Command, and his deputy Brig-Gen Thaung Htun pose in a photo taken on March 17, 2026. (Photo: Phadu Tun Aung ",9,Digital Censorship,arrest|social media|surveillance|press freedom,"The article directly details the arrest of an individual for online activity, demonstrating state enforcement of digital censorship and the risks to digital safety for citizens and journalists.",81,B,Generally Reliable,Independent. Strong investigative coverage. Founded 2016.,PUBLISH,
,Figures for past year's persecution of journalism in Myanmar - RSF,Myanmar's Crackdown on Press: Over 100 Journalists Arrested and Assaulted in a Year,https://rsf.org/en/figures-past-year-s-persecution-journalism-myanmar,Reporters Without Borders,"115journalists arrested

In the past year, at least 115 journalists have been arrested while covering protests or after being tracked down by the intelligence services. Some were arrested at their homes and violence was often used. At least 15 media professionals, including the woman journalist Yin ",9,Press freedom online,Journalist digital safety|Surveillance technology,"The article directly details the arrest, tracking, and violence against journalists, which are core components of digital censorship and threats to press freedom online.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar: Cease persecution of journalists - Amnesty International,Myanmar Military Targets Journalists and Imposes Communications Blackouts,https://www.amnesty.org/en/latest/press-release/2021/05/myanmar-cease-persecution-journalists/,Amnesty International,"Which language would you like to use this site in?

Amnesty International
Amnesty International
Facebook Logo
Twitter Logo

Also available in Français

# Myanmar: Cease persecution of journalists

The arrest of Danny Fenster is a reminder of how the media in Myanmar has been targeted for trying to e",9,Press freedom online,journalist digital safety|digital censorship|network shutdowns,"The article directly addresses the persecution of journalists, which is central to press freedom online and journalist digital safety, and references severe communications blackouts, linking to network shutdowns and censorship.",93,A,Highly Reliable,"Global human rights organisation. Extensive research, transparent methodology.",SKIP,
,"Amid civil war, RSF Myanmar Press Freedom Project aids over 300 ...",RSF Project Supports Over 300 Exiled Myanmar Journalists Amid Junta Crackdown,https://rsf.org/en/amid-civil-war-rsf-myanmar-press-freedom-project-aids-over-300-journalists-one-year,Reporters Without Borders,"The Myanmar Press Freedom Project is managed from neighbouring Thailand, which harbours over 300 reporters and 60 media exiled from Myanmar, according to RSF data, due to the Myanmar junta’s repression of journalism. Initially established in Chiang Mai, the second-largest city in Thailand, the proje",9,Press Freedom Online,Journalist Digital Safety|Exiled Media|Press Freedom Advocacy,"The article directly details support for journalists and media exiled due to state repression, which is a core component of press freedom online and journalist safety in the digital sphere.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar: RSF welcomes the release of journalists Ta Lin Maung ...,RSF Welcomes Journalist Release Amid Myanmar's Media Crackdown and Support for Press Freedom,https://rsf.org/en/myanmar-rsf-welcomes-release-journalists-ta-lin-maung-and-naung-yoe,Reporters Without Borders,"Since February 2021, Myanmar’s military regime has launched a merciless crackdown on the media, with at least seven journalists and press freedom defenders executed and over 150 journalists imprisoned; at least 64 remain incarcerated in junta-controlled prisons.

RSF's project for Myanmar journalist",9,Press Freedom Online,Journalist Digital Safety|Digital Censorship|Surveillance Technology,"The article directly details the imprisonment of journalists, a crackdown on media, and support for journalist safety, which are core components of press freedom and digital safety under censorship and surveillance.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,Myanmar military junta takes control of broadcast authority to ... - RSF,Myanmar Junta Seizes Broadcast Authority to Tighten Media Control,https://rsf.org/en/myanmar-military-junta-takes-control-broadcast-authority-strengthen-its-grip-over-media,Reporters Without Borders,"Make a donation

 Français
 English
 ESPAñOL
 PORTUGUESE
 العربية
 فارسی
 简体中文
 繁體中文

Press freedom is under attack worldwide. Your support is vital.

SUPPORT RSF

# Myanmar military junta takes control of broadcast authority to strengthen its grip over media

STR / AFP

Organisation:

 RSF\_en

Par",9,Censorship,media control|press freedom|authoritarian governance,"The article directly describes the military junta seizing control of a broadcast authority to tighten its grip over media, which is a core aspect of digital censorship and press freedom online in Myanmar.",93,A,Highly Reliable,Leading press freedom organisation. Transparent methodology. Paris-based NGO.,SKIP,
,iMAP 2024: State of Internet Censorship in 9 countries | OONI,iMAP 2024 Research: Measuring Internet Censorship Across Southeast Asia,https://ooni.org/post/2024-imap-9-research-reports-southeast-asia/,OONI Explorer,"Open Observatory of Network Interference (OONI) Logo

# iMAP 2024: State of Internet Censorship in 9 countries

On 22st October 2024, our long-term partner, Sinar Project, published 9 new research reports on
internet censorship in Southeast Asia and Hong Kong (China) in collaboration with their
Inte",9,Censorship,Internet Censorship|Network Measurement|Southeast Asia,"The article directly reports on research into internet censorship across Southeast Asia, which is highly relevant to Myanmar's context of digital censorship and surveillance.",98,A,Highly Reliable,"Independent technical measurement, open methodology, no editorial bias",PUBLISH,
,When internet shutdowns spill over borders - The Guardian,How Myanmar's Internet Shutdowns Can Have Unintended Global Effects,https://www.theguardian.com/technology/2022/aug/29/when-internet-shutdowns-spill-over-borders,The Guardian,"When Myanmar’s military ordered telecom companies to shut down access to Twitter in February 2021, one Twitter user in Mumbai who was posting critically about the Indian government realised he had lost access to the social media platform. He sent a message on Signal to a friend: “Am I imagining this",9,Shutdown,Internet Shutdown|Cross-border Impact|Censorship|Social Media Blocking,"The article directly discusses a Myanmar military-ordered internet shutdown targeting Twitter, which is a core example of digital censorship and network disruption affecting users.",88,A,Highly Reliable,,PUBLISH,
,Technical multi-stakeholder report on Internet shutdowns: The case ...,Comparative Analysis: Internet Shutdown Patterns in Myanmar and Iran,https://ooni.org/post/2022-iran-technical-multistakeholder-report/,OONI Explorer,"Iran’s recent “digital curfews” are reminiscent of the nightly Internet outages (“digital curfews”) that Myanmar experienced for several months following the military coup in February 2021. In both cases, several independent network measurement data sets show that while Internet outages occurred alm",9,Shutdown,Internet Shutdown|Digital Censorship|Network Measurement,"The article directly compares Iran's digital curfews to the specific, prolonged internet shutdowns implemented in Myanmar following the 2021 coup.",98,A,Highly Reliable,"Independent technical measurement, open methodology, no editorial bias",PUBLISH,
,Facebook admits it was used to 'incite offline violence' in Myanmar,Facebook Concludes Platform Fueled Real-World Violence in Myanmar,https://www.bbc.com/news/world-asia-46105934,BBC News,"# Facebook admits it was used to 'incite offline violence' in Myanmar

Getty Images People look at Facebook on their phones at a teashop in Yangon, Myanmar, in August 2018

Facebook has said it agrees with a report that found it had failed to prevent its platform being used to ""incite offline violen",9,Digital Censorship,Social Media|Violence Incitement|Platform Accountability,"The article directly addresses how a major social media platform was weaponized for harmful content, a core digital censorship and online safety issue in Myanmar.",90,A,Highly Reliable,UK public broadcaster. Strong editorial standards. BBC Burmese service.,PUBLISH,
,"Facebook, YouTube Take Down Myanmar Junta Propaganda ...",Major Platforms Remove Myanmar Junta Propaganda Accounts Following Rights Complaints,https://www.irrawaddy.com/news/burma/facebook-youtube-take-down-myanmar-junta-propaganda-accounts.html,The Irrawaddy,"Facebook, YouTube, Twitch and MediaFire have taken down key junta propaganda channels and accounts after complaints from human rights",9,Digital Censorship,Platform Regulation|Propaganda|Content Moderation,"The article directly details major platforms censoring state propaganda, a core aspect of digital censorship and the control of online information in Myanmar.",84,B,Generally Reliable,Founded 1993. Exiled Thai-based outlet. Strong Myanmar coverage. MBFC: High.,PUBLISH,
,Myanmar's civic space 'closed” according to new Asia-Pacific report,"Myanmar Junta Expands Internet Crackdown, Blocking Key Apps and Signal",https://eng.mizzima.com/2024/12/04/16960,eng.mizzima.com,"In July 2024, some Google apps, along with the popular messaging app Signal, appeared to be blocked inside Myanmar. The junta has also",9,Shutdown,Internet Blocking|App Blocking|Digital Censorship|Press Freedom,"The article directly reports on the blocking of Google apps and Signal, which are clear examples of digital censorship and network disruption affecting internet freedom and journalist safety.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Czech tech firm under fire for software supply to Myanmar Junta ...,Czech Firm Criticized for Supplying Surveillance Tech to Myanmar Military,https://eng.mizzima.com/2025/04/19/21497,eng.mizzima.com,"Shin Shin, a rights defender still operating clandestinely in Yangon, related to Radiožurnál how authorities routinely extract data from Telegram, Viber, and Signal during interrogations — including deleted conversations and photos. She noted that since 2022, surveillance efforts have become more pr",9,Surveillance,surveillance technology|digital censorship|journalist safety,"The article details the use of specific surveillance technology by Myanmar authorities to extract data from encrypted apps, directly impacting digital safety, press freedom, and enabling targeted repression.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,PUBLISH,
,Myanmar's digital dictatorship - Access Now,Myanmar's Military Expands Digital Surveillance and Control Over Telecom Networks,https://www.accessnow.org/spotlight/myanmar/page/3/,Access Now,"a web of connected eyes on a purple and blue background

## Telegram used to identify Myanmar Junta opponents

Corporate transparency Social card

## As Myanmar junta extends control over telcos, surveillance and privacy risks increase

Telenor must mitigate the human rights risks of its sale before",9,Surveillance,Surveillance Technology|Digital Censorship|Journalist Safety,"The article directly addresses state surveillance via telecom control, risks to privacy, and the identification of political opponents, which are core issues for digital rights and online safety in Myanmar.",92,A,Highly Reliable,"Digital rights NGO. KeepItOn coalition. Transparent, well-sourced reports.",PUBLISH,
,Chinese technology company helps track the location of over 33 ...,Report Exposes Myanmar Junta's Use of Chinese Tech for Mass Location Surveillance,https://eng.mizzima.com/2025/09/10/26237,eng.mizzima.com,A new report published today exposes the significant collaboration between the illegal Myanmar military junta and Geedge Networks in,9,Surveillance,Surveillance Technology|Journalist Safety|Military Junta,"The article directly details a foreign technology company's collaboration with the Myanmar junta on location tracking, which is a core surveillance technology impacting internet freedom, digital safety, and press freedom.",65,C,Mixed Reliability,Independent outlet with good Myanmar coverage but limited transparency and sourcing details.,SKIP,
